1.0, 唐嫣和朱茵之间的距离得用光年计算吧
1.0, 韩庚到底知不知道自己是零！演！技！唐嫣到底知不知道自己根本没有观！众！缘！世风日下啊，各种妖魔鬼怪出来辣眼睛，好好的做花瓶骗脑残小学生不好么，电视剧都演不明白还来演电影。
1.0, 有同学在里面做过后期，跟我们咆哮说：你们要是去看这片子就是对不起我!!!
1.0, 心疼莫文蔚，何苦来趟这摊恶心的脏水。
1.0, 奇葩的阵容，一个是民大小偷，一个是中戏之耻，好好笑
1.0, 美瞳锥子脸，高颧骨苹果肌，龅牙外翻唇，大龄傻白甜，做作渣演技，这是紫霞仙子被黑最惨的一次。
1.0, 史上最丑紫霞VS史上最猥琐至尊宝，你选哪个？
1.0, 刘镇伟在选择韩庚和唐嫣的那瞬间，就注定了这是部烂片。
1.0, 朱茵只需微微动一根手指，就可以打的唐嫣满地找牙。送她八个字：不自量力，自取其辱。
1.0, 这个紫霞有点丑
1.0, 用十二个字总结：毁经典（整体），辣眼睛（韩庚和唐嫣的演技），什么鬼（剧情），想不开（莫文蔚）
1.0, 粗制滥造的特效，配合毫不用心的内容情节，看着唐嫣和韩庚分分钟出戏的演技，和那个跨时空的美瞳，duang   duang    duang。整部电影就是部弱智小学生电影。也是醉了
1.0, 打一星都嫌多。朱茵演紫霞时24岁，唐嫣快34岁了吧 不仅颜值比不上朱茵 演技更相差甚远。
1.0, 尴尬癌要发作了，剧情尴尬，表演尴尬，桥段尴尬，特效尴尬。据说刘镇伟现在在专心拍网剧大话，嗯，别拍电影了。
1.0, 圈钱的电影，韩庚和唐嫣演技尴尬到无法形容，真真是毁经典。
1.0, 看唐嫣那僵硬的肢体，那装逼的演技，我只想说，能退票钱吗
1.0, 我实在看不下去韩庚夸张并急促的演技，还有吴京，这个唐僧真土逼！唐嫣，不要以为我没提你名字就完美了，你演技最烂。
1.0, 庸俗＋低俗的消费IP之作。
1.0, 原来的班底，却是这样的两个主演，失败，失望
1.0, 即使抛开演员不看，整部电影也是处处充斥着低劣和庸俗之感，何况2位演员的身上全然不具备前作主演的灵气。刘镇伟这厮拍片之前一定在想“有王晶的《澳门风云》给我垫底，我就拍个《大话西游》续集也没啥”，事实证明，刘镇伟还是太高估自己了，这依然是一部非常合格的由IP、粉丝和水军撑起来的烂片。
1.0, 如果上天能够给我一个再来一次的机会，我想对你说，有多远滚多远。如果非要给它加个期限，我希望是forever。
1.0, 一部炒冷饭的圈钱烂片，两个演技被抽空的主演。让人心有余悸的演出。
1.0, 不能算狗尾续貂，应该是狗屎续命。
1.0, 大陆并非没有好演员，只是放眼望去尽是劣币驱逐良币，于是让韩庚唐嫣这种三流low货一次次恶心观众。
1.0, 刘镇伟不但恶心自己，还恶心周星驰，恶心王家卫，恶心所有人
1.0, 看到一半我就退场了！耿耿于怀之际，找家网吧包个厢。静静的看周星驰版！
1.0, 什么时候龅牙大龄傻白甜能不祸害电影圈啊，哦不过这烂片倒是和大龄傻白甜配一脸。
1.0, 论演员，这批演员和之前原版的演员相比，无论是实力还是气质，或是好感度，相隔十万八千里，毫无灵气和韵味，尤其是一笑百媚生、绝色倾城的朱茵之紫霞，无法企及。论制作，粗糙低劣、恶俗肤浅，无新意无内涵，也就无欣赏和思考的必要。大话西游之经典，带上这样的相关，真是可悲。
1.0, 40%的水军，一目了然。（目前跌至25%）
1.0, 毁童年系列
1.0, 事实证明，在没有期望的情况下，还是吐了。韩庚对打星爷，唐嫣对打朱茵，对对对，我们都欠刘镇伟一张电影票，黑人问号脸？！（说特效是你同学的那位同学你过来......替我问候一下他
1.0, 隔了十几年的冷饭又拎出来炒，我心目中的至尊宝和紫霞只有星爷和朱茵，仿冒品拜托别再出来污染眼球，辣眼睛。
1.0, 剧情完美，演员演的各有千秋，特效满分，背景音乐大气感人，简直是经典重现（每条5毛，括号内删除）
4.0, 感觉效果比我想象中的好😂青霞和六耳的感情线很有看头。唐嫣没有戴美瞳好评。片尾曲挺好听的。
4.0, 以为刘镇伟想炒冷饭炒到晚节不保，结果看完发现他是想证明自己还没有江郎才尽。演员的灵气还差一点，但是不至于出戏，青霞和六耳猕猴的线挺抓人的，本来只想打一星，但觉得乱打一星的人太多，打个四星平衡一下。
1.0, 莫文蔚演太浪费了，唐嫣一点不像紫霞，韩庚的至尊宝也只能呵呵了，不知道哪来勇气拍的，应该把电影名字改下，
1.0, 其实唐嫣应该演个哑巴 预告里台词太烂了。。。
4.0, 比预料中的好看，吴京的唐僧很惊喜，韩庚也蛮帅的，喜欢唐嫣的哭戏，作为国产喜剧片，还是给我蛮大惊喜的
1.0, 0分！差点看疯！烂到天崩地裂，烂得令人发指口吐白沫！太可怕了！得有多不正常才会拍出这么个稀巴烂的东西？表演、故事、台词、特效，真的，没有一样能看的。如果你实在想不开，如果你真的很想恶心自己，如果你不怕眼睛被辣瞎，再考虑去看吧。否则还是建议离这坨屎远点，别让拉屎的人笑着看你吃屎！
1.0, 大话西游之没有3。大话西游3的演员全都用实际行动证明了他们不如大话西游1和2的演员，刘镇伟也用大话西游3向观众证明了大话西游1和2有他没他根本不重要！
1.0, 丢香港导演的脸，丢西游的脸。
1.0, 首映日一大早水军就来工作，一水的五星夸的好尴尬，只想问一句脸疼吗？哦不对，脸疼的前提是要有脸。
3.0, 到底还是原班人马能找回当年电影的味道，刘镇伟还是很能与时俱进的，电影里的网络流行词很多，而且用的特别到位，简直有穿越到现代的感觉。这种混搭尤其搞笑。
1.0, 紫……霞？紫瞎吧。
0, 水军要点脸好不好！！！！
4.0, 特效这次真是到位了，尤其是后半场特效 镜头很集中，而且是五块的特效！坐在电影院里看牛魔王变身，真是很爽
3.0, 喜欢电影的可以去看，我已经替你们鉴定过了，完全可以找到当年两部大话西游无厘头的搞笑风格。唐僧这次是搞笑担当啊，金句频出呢
1.0, 比起唐嫣和朱茵的距离，分明是韩庚和周星驰的距离更大。拒绝承认这是至尊宝。
1.0, 光是至尊宝空中抱着穿红衣霞帔的紫霞的那张海报的恶趣味已经足以让人望而却步了……有种心里的白月光被人糊屎了的感觉……韩庚、唐嫣，我说这话并不是针对二位…………而是针对整部电影的所有创作人员（尤其是导演）[doge]
